Transacao,Data de compra,ID Consumidor,ID Produto,Quantidade
4728,1/1/2020,4422,12,2
4729,1/1/2020,6712,16,5
4730,1/1/2020,2217,20,4
4731,1/1/2020,5295,5,5
4732,1/1/2020,3639,4,5
4733,1/1/2020,7906,17,5
4734,1/1/2020,2246,6,5
4735,1/1/2020,1983,2,6
4736,1/1/2020,4069,7,5
4737,1/1/2020,7920,15,4
4738,1/1/2020,3692,9,5
4739,1/1/2020,4681,16,2
4740,1/1/2020,1271,4,5
4741,1/1/2020,4571,2,3
4742,1/1/2020,4368,9,3
4743,1/1/2020,3716,18,2
4744,1/1/2020,9745,11,3
4745,1/1/2020,5512,5,3
4746,1/1/2020,9249,4,3
4747,1/1/2020,6265,20,5
4748,1/1/2020,1222,17,4
4749,1/1/2020,4579,8,4
4750,1/2/2020,2553,4,2
4751,1/2/2020,2019,2,3
4752,1/2/2020,4614,20,4
4753,1/2/2020,4843,11,3
4754,1/2/2020,1977,8,3
4755,1/2/2020,8746,1,5
4756,1/2/2020,8916,1,6
4757,1/2/2020,8414,13,3
4758,1/2/2020,4756,17,4
4759,1/2/2020,4855,17,4
4760,1/2/2020,9037,20,5
4761,1/2/2020,6111,20,4
4762,1/2/2020,6982,1,4
4763,1/2/2020,8534,20,2
4764,1/2/2020,4364,10,2
4765,1/2/2020,4892,20,5
4766,1/2/2020,8269,2,5
4767,1/2/2020,2124,3,6
4768,1/2/2020,4914,12,4
4769,1/2/2020,260,13,4
4770,1/2/2020,602,13,4
4771,1/2/2020,8682,3,5
4772,1/2/2020,10104,14,6
4773,1/2/2020,7337,16,3
4774,1/2/2020,8739,11,3
4775,1/2/2020,7472,4,6
4776,1/3/2020,3349,1,4
4777,1/3/2020,4397,19,3
4778,1/3/2020,6324,16,5
4779,1/3/2020,8665,6,3
4780,1/3/2020,2438,3,5
4781,1/3/2020,7672,20,3
4782,1/3/2020,6012,16,5
4783,1/3/2020,8173,11,6
4784,1/3/2020,2958,2,5
4785,1/3/2020,2553,12,3
4786,1/3/2020,588,1,6
4787,1/3/2020,4938,17,5
4788,1/3/2020,5013,16,4
4789,1/3/2020,4486,9,5
4790,1/3/2020,4501,15,3
4791,1/3/2020,10189,3,5
4792,1/3/2020,9327,17,5
4793,1/3/2020,9205,12,3
4794,1/3/2020,1785,4,4
4795,1/3/2020,10095,6,4
4796,1/3/2020,1626,3,5
4797,1/3/2020,211,3,6
4798,1/3/2020,4571,12,4
4799,1/4/2020,191,8,3
4800,1/4/2020,9513,7,5
4801,1/4/2020,2712,20,5
4802,1/4/2020,1771,17,3
4803,1/4/2020,5877,4,4
4804,1/4/2020,3435,7,5
4805,1/4/2020,3567,18,6
4806,1/4/2020,8427,5,2
4807,1/4/2020,6559,1,6
4808,1/4/2020,3503,15,4
4809,1/4/2020,5398,2,4
4810,1/4/2020,4239,9,4
4811,1/4/2020,6047,5,3
4812,1/4/2020,4051,13,5
4813,1/4/2020,4165,10,3
4814,1/4/2020,9510,5,4
4815,1/4/2020,9063,18,4
4816,1/4/2020,9540,8,3
4817,1/4/2020,6353,16,4
4818,1/5/2020,4373,11,3
4819,1/5/2020,2471,7,3
4820,1/5/2020,9999,11,4
4821,1/5/2020,2338,9,2
4822,1/5/2020,5171,17,5
4823,1/5/2020,1432,15,3
4824,1/5/2020,3416,17,4
4825,1/5/2020,6666,13,4
4826,1/5/2020,8059,3,3
4827,1/5/2020,1145,5,5
4828,1/5/2020,7831,8,3
4829,1/5/2020,1616,16,5
4830,1/5/2020,5605,10,6
4831,1/5/2020,4657,15,3
4832,1/5/2020,8534,12,3
4833,1/5/2020,2518,20,3
4834,1/5/2020,1593,1,3
4835,1/5/2020,6855,8,5
4836,1/5/2020,3727,15,4
4837,1/5/2020,272,17,6
4838,1/5/2020,4579,9,4
4839,1/5/2020,9895,11,4
4840,1/5/2020,8615,13,6
4841,1/5/2020,3390,4,5
4842,1/5/2020,5739,6,3
4843,1/6/2020,2553,9,3
4844,1/6/2020,1978,3,5
4845,1/6/2020,10021,2,5
4846,1/6/2020,8966,18,5
4847,1/6/2020,3219,3,3
4848,1/6/2020,2553,18,5
4849,1/6/2020,9006,19,4
